sosa-description_en,sosa-description_fr,commodity-description_en,commodity-description_fr,commodity,supplier-standardized-name,supplier-legal-name,supplier-operating-name,end-user-entity_en,end-user-entity_fr,award-date,expiry-date,delivery-point-code,delivery-point_en,delivery-point_fr,agreement-type_en,agreement-type_fr,agreement-number,date-file-published
"E60HL-240050-008-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","E60HL-240050-008-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","Aviation fuel","Carburants d'aviation",15101504,"APRON FUEL SERVICES INC","Apron Fuel Services Inc",,"Department of National Defence","Ministère de la défense nationale",2024-08-22,2026-05-31,CA-NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,NMSO,OCPN,CW2361895,"2026-03-12 22:50:03"
"E60HL-240050-008-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","E60HL-240050-008-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","Aviation fuel","Carburants d'aviation",15101504,"APRON FUEL SERVICES INC","Apron Fuel Services Inc",,"Department of National Defence","Ministère de la défense nationale",2024-08-22,2026-05-31,CA-NT,"Northwest Territories","Territoires du Nord-Ouest",NMSO,OCPN,CW2361895,"2026-03-12 22:50:03"
"E60HL-240050-008-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","E60HL-240050-008-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","Aviation fuel","Carburants d'aviation",15101504,"APRON FUEL SERVICES INC","Apron Fuel Services Inc",,"Department of National Defence","Ministère de la défense nationale",2024-08-22,2026-05-31,CA-NS,"Nova Scotia",Nouvelle-Écosse,NMSO,OCPN,CW2361895,"2026-03-12 22:50:03"
"E60HL-240050-008-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","E60HL-240050-008-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","Aviation fuel","Carburants d'aviation",15101504,"APRON FUEL SERVICES INC","Apron Fuel Services Inc",,"Department of National Defence","Ministère de la défense nationale",2024-08-22,2026-05-31,CA-ON,Ontario,Ontario,NMSO,OCPN,CW2361895,"2026-03-12 22:50:03"
"E60HL-240050-008-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","E60HL-240050-008-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","Aviation fuel","Carburants d'aviation",15101504,"APRON FUEL SERVICES INC","Apron Fuel Services Inc",,"Department of National Defence","Ministère de la défense nationale",2024-08-22,2026-05-31,CA-PE,"Prince Edward Island",Île-du-Prince-Édouard,NMSO,OCPN,CW2361895,"2026-03-12 22:50:03"
"E60HL-240050-008-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","E60HL-240050-008-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","Aviation fuel","Carburants d'aviation",15101504,"APRON FUEL SERVICES INC","Apron Fuel Services Inc",,"Department of National Defence","Ministère de la défense nationale",2024-08-22,2026-05-31,CA-QC,Quebec,Québec,NMSO,OCPN,CW2361895,"2026-03-12 22:50:03"
"E60HL-240050-008-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","E60HL-240050-008-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","Aviation fuel","Carburants d'aviation",15101504,"APRON FUEL SERVICES INC","Apron Fuel Services Inc",,"Department of National Defence","Ministère de la défense nationale",2024-08-22,2026-05-31,CA-SK,Saskatchewan,Saskatchewan,NMSO,OCPN,CW2361895,"2026-03-12 22:50:03"
"E60HL-240050-008-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","E60HL-240050-008-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : APRON FUEL SERVICES INC (CW2351253-ACM_173698614).","Aviation fuel","Carburants d'aviation",15101504,"APRON FUEL SERVICES INC","Apron Fuel Services Inc",,"Department of National Defence","Ministère de la défense nationale",2024-08-22,2026-05-31,CA-YT,Yukon,Yukon,NMSO,OCPN,CW2361895,"2026-03-12 22:50:03"
"E60HL-240050-007-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AVJET HOLDING INC (CW2351253-ACM_155977264).","E60HL-240050-007-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AVJET HOLDING INC (CW2351253-ACM_155977264).","Aviation fuel","Carburants d'aviation",15101504,"AVJET HOLDING INC","AVJET HOLDING INC.",,"Department of National Defence","Ministère de la défense nationale",2024-10-18,2026-05-31,CA-AB,Alberta,Alberta,NMSO,OCPN,CW2361905,"2026-03-12 22:50:03"
"E60HL-240050-007-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AVJET HOLDING INC (CW2351253-ACM_155977264).","E60HL-240050-007-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AVJET HOLDING INC (CW2351253-ACM_155977264).","Aviation fuel","Carburants d'aviation",15101504,"AVJET HOLDING INC","AVJET HOLDING INC.",,"Department of National Defence","Ministère de la défense nationale",2024-10-18,2026-05-31,CA-BC,"British Columbia",Colombie-Britannique,NMSO,OCPN,CW2361905,"2026-03-12 22:50:03"
"E60HL-240050-007-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AVJET HOLDING INC (CW2351253-ACM_155977264).","E60HL-240050-007-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AVJET HOLDING INC (CW2351253-ACM_155977264).","Aviation fuel","Carburants d'aviation",15101504,"AVJET HOLDING INC","AVJET HOLDING INC.",,"Department of National Defence","Ministère de la défense nationale",2024-10-18,2026-05-31,CA-MB,Manitoba,Manitoba,NMSO,OCPN,CW2361905,"2026-03-12 22:50:03"
"E60HL-240050-007-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AVJET HOLDING INC (CW2351253-ACM_155977264).","E60HL-240050-007-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AVJET HOLDING INC (CW2351253-ACM_155977264).","Aviation fuel","Carburants d'aviation",15101504,"AVJET HOLDING INC","AVJET HOLDING INC.",,"Department of National Defence","Ministère de la défense nationale",2024-10-18,2026-05-31,RCN-NCR,"National Capital Region","Région de la capitale nationale",NMSO,OCPN,CW2361905,"2026-03-12 22:50:03"
"E60HL-240050-007-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AVJET HOLDING INC (CW2351253-ACM_155977264).","E60HL-240050-007-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AVJET HOLDING INC (CW2351253-ACM_155977264).","Aviation fuel","Carburants d'aviation",15101504,"AVJET HOLDING INC","AVJET HOLDING INC.",,"Department of National Defence","Ministère de la défense nationale",2024-10-18,2026-05-31,CA-NB,"New Brunswick",Nouveau-Brunswick,NMSO,OCPN,CW2361905,"2026-03-12 22:50:03"
"E60HL-240050-007-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AVJET HOLDING INC (CW2351253-ACM_155977264).","E60HL-240050-007-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AVJET HOLDING INC (CW2351253-ACM_155977264).","Aviation fuel","Carburants d'aviation",15101504,"AVJET HOLDING INC","AVJET HOLDING INC.",,"Department of National Defence","Ministère de la défense nationale",2024-10-18,2026-05-31,CA-NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,NMSO,OCPN,CW2361905,"2026-03-12 22:50:03"
"E60HL-240050-007-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AVJET HOLDING INC (CW2351253-ACM_155977264).","E60HL-240050-007-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AVJET HOLDING INC (CW2351253-ACM_155977264).","Aviation fuel","Carburants d'aviation",15101504,"AVJET HOLDING INC","AVJET HOLDING INC.",,"Department of National Defence","Ministère de la défense nationale",2024-10-18,2026-05-31,CA-NT,"Northwest Territories","Territoires du Nord-Ouest",NMSO,OCPN,CW2361905,"2026-03-12 22:50:03"
"E60HL-240050-007-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AVJET HOLDING INC (CW2351253-ACM_155977264).","E60HL-240050-007-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AVJET HOLDING INC (CW2351253-ACM_155977264).","Aviation fuel","Carburants d'aviation",15101504,"AVJET HOLDING INC","AVJET HOLDING INC.",,"Department of National Defence","Ministère de la défense nationale",2024-10-18,2026-05-31,CA-NS,"Nova Scotia",Nouvelle-Écosse,NMSO,OCPN,CW2361905,"2026-03-12 22:50:03"
"E60HL-240050-007-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AVJET HOLDING INC (CW2351253-ACM_155977264).","E60HL-240050-007-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AVJET HOLDING INC (CW2351253-ACM_155977264).","Aviation fuel","Carburants d'aviation",15101504,"AVJET HOLDING INC","AVJET HOLDING INC.",,"Department of National Defence","Ministère de la défense nationale",2024-10-18,2026-05-31,CA-ON,Ontario,Ontario,NMSO,OCPN,CW2361905,"2026-03-12 22:50:03"
"E60HL-240050-007-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AVJET HOLDING INC (CW2351253-ACM_155977264).","E60HL-240050-007-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AVJET HOLDING INC (CW2351253-ACM_155977264).","Aviation fuel","Carburants d'aviation",15101504,"AVJET HOLDING INC","AVJET HOLDING INC.",,"Department of National Defence","Ministère de la défense nationale",2024-10-18,2026-05-31,CA-PE,"Prince Edward Island",Île-du-Prince-Édouard,NMSO,OCPN,CW2361905,"2026-03-12 22:50:03"
"E60HL-240050-007-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AVJET HOLDING INC (CW2351253-ACM_155977264).","E60HL-240050-007-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AVJET HOLDING INC (CW2351253-ACM_155977264).","Aviation fuel","Carburants d'aviation",15101504,"AVJET HOLDING INC","AVJET HOLDING INC.",,"Department of National Defence","Ministère de la défense nationale",2024-10-18,2026-05-31,CA-QC,Quebec,Québec,NMSO,OCPN,CW2361905,"2026-03-12 22:50:03"
"E60HL-240050-007-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AVJET HOLDING INC (CW2351253-ACM_155977264).","E60HL-240050-007-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AVJET HOLDING INC (CW2351253-ACM_155977264).","Aviation fuel","Carburants d'aviation",15101504,"AVJET HOLDING INC","AVJET HOLDING INC.",,"Department of National Defence","Ministère de la défense nationale",2024-10-18,2026-05-31,CA-SK,Saskatchewan,Saskatchewan,NMSO,OCPN,CW2361905,"2026-03-12 22:50:03"
"E60HL-240050-007-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: AVJET HOLDING INC (CW2351253-ACM_155977264).","E60HL-240050-007-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : AVJET HOLDING INC (CW2351253-ACM_155977264).","Aviation fuel","Carburants d'aviation",15101504,"AVJET HOLDING INC","AVJET HOLDING INC.",,"Department of National Defence","Ministère de la défense nationale",2024-10-18,2026-05-31,CA-YT,Yukon,Yukon,NMSO,OCPN,CW2361905,"2026-03-12 22:50:03"
"EE517-241046 - Request for standing offer - Civil Engineering","EE517-241046 -Demande d'offre à commande - Génie Civil","Highway engineering","Ingénierie des autoroutes",81101510,"TETRA TECH QI INC","Tetra Tech QI inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-02-23,2027-02-22,CA-QC,Quebec,Québec,DISO,OCIM,CW2362003,"2026-03-12 22:50:03"
"EN578-232335.177.SMS 1E Inc. (1E Inc.) [EN578-232335.177.SMS 1E Inc. (1E Inc.)]. Legacy agreement: 1E INC (CW2309422-ACM_190331066).","EN578-232335.177.SMS 1E Inc. (1E Inc.) [EN578-232335.177.SMS 1E Inc. (1E Inc.)]. Ancien accord : 1E INC (CW2309422-ACM_190331066).","Software maintenance and support, Software","Maintenance et support de logiciel, Logiciels","81112200, 43230000","1E INC","1E, Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-05-21,2028-09-29,CA,Canada,Canada,SA,AMA,CW2362089,"2026-03-12 22:50:03"
"EN578-232335.170.SMS - 10947482 Canada Inc. (AppSOC). Legacy agreement: 10947482 CANADA INC (CW2309422-ACM_172458285).","EN578-232335.170.SMS - 10947482 Canada Inc. (AppSOC). Ancien accord : 10947482 CANADA INC (CW2309422-ACM_172458285).","Software, Software maintenance and support","Logiciels, Maintenance et support de logiciel","43230000, 81112200","10947482 CANADA INC","10947482 Canada Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-05-21,2028-09-29,CA,Canada,Canada,SA,AMA,CW2362350,"2026-03-12 22:50:03"
"FW005-240001 Mooring Equipment RISO","FW005-240001 Équipement damarrage OCIR","Hardware and fittings","Raccords et pièces",40141700,"KEYSTONE SUPPLIES COMPANY INC","KEYSTONE SUPPLIES COMPANY INC.",,"Fisheries and Oceans Canada","Pêches et Océans Canada",2024-11-21,2026-09-30,CA-NT,"Northwest Territories","Territoires du Nord-Ouest",RISO,OCIR,CW2362370,"2026-03-12 22:50:03"
"RISO-EA003-241789- Materials Testing Services- Various Locations, NL","OCIR EA003-241789- Services de mise à lessai des matériaux  Divers emplacements (T.-N.-L.)","Materials or product inspection","Contrôle de matériaux",81141503,"ALLNORTH CONSULTANTS LTD","AllNorth Consultants Ltd",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-06-06,2026-06-05,CA-NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,RISO,OCIR,CW2362557,"2026-03-12 22:50:03"
"E60HL-240050-010-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","E60HL-240050-010-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","Aviation fuel","Carburants d'aviation",15101504,"FLIGHT FUELS LIMITED PARTNERSHIP","FLIGHT FUELS LIMITED PARTNERSHIP",,"Department of National Defence","Ministère de la défense nationale",2024-05-23,2026-05-31,CA-AB,Alberta,Alberta,NMSO,OCPN,CW2362568,"2026-03-12 22:50:03"
"E60HL-240050-010-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","E60HL-240050-010-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","Aviation fuel","Carburants d'aviation",15101504,"FLIGHT FUELS LIMITED PARTNERSHIP","FLIGHT FUELS LIMITED PARTNERSHIP",,"Department of National Defence","Ministère de la défense nationale",2024-05-23,2026-05-31,CA-BC,"British Columbia",Colombie-Britannique,NMSO,OCPN,CW2362568,"2026-03-12 22:50:03"
"E60HL-240050-010-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","E60HL-240050-010-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","Aviation fuel","Carburants d'aviation",15101504,"FLIGHT FUELS LIMITED PARTNERSHIP","FLIGHT FUELS LIMITED PARTNERSHIP",,"Department of National Defence","Ministère de la défense nationale",2024-05-23,2026-05-31,CA-MB,Manitoba,Manitoba,NMSO,OCPN,CW2362568,"2026-03-12 22:50:03"
"E60HL-240050-010-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","E60HL-240050-010-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","Aviation fuel","Carburants d'aviation",15101504,"FLIGHT FUELS LIMITED PARTNERSHIP","FLIGHT FUELS LIMITED PARTNERSHIP",,"Department of National Defence","Ministère de la défense nationale",2024-05-23,2026-05-31,RCN-NCR,"National Capital Region","Région de la capitale nationale",NMSO,OCPN,CW2362568,"2026-03-12 22:50:03"
"E60HL-240050-010-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","E60HL-240050-010-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","Aviation fuel","Carburants d'aviation",15101504,"FLIGHT FUELS LIMITED PARTNERSHIP","FLIGHT FUELS LIMITED PARTNERSHIP",,"Department of National Defence","Ministère de la défense nationale",2024-05-23,2026-05-31,CA-NB,"New Brunswick",Nouveau-Brunswick,NMSO,OCPN,CW2362568,"2026-03-12 22:50:03"
"E60HL-240050-010-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","E60HL-240050-010-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","Aviation fuel","Carburants d'aviation",15101504,"FLIGHT FUELS LIMITED PARTNERSHIP","FLIGHT FUELS LIMITED PARTNERSHIP",,"Department of National Defence","Ministère de la défense nationale",2024-05-23,2026-05-31,CA-NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,NMSO,OCPN,CW2362568,"2026-03-12 22:50:03"
"E60HL-240050-010-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","E60HL-240050-010-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","Aviation fuel","Carburants d'aviation",15101504,"FLIGHT FUELS LIMITED PARTNERSHIP","FLIGHT FUELS LIMITED PARTNERSHIP",,"Department of National Defence","Ministère de la défense nationale",2024-05-23,2026-05-31,CA-NT,"Northwest Territories","Territoires du Nord-Ouest",NMSO,OCPN,CW2362568,"2026-03-12 22:50:03"
"E60HL-240050-010-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","E60HL-240050-010-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","Aviation fuel","Carburants d'aviation",15101504,"FLIGHT FUELS LIMITED PARTNERSHIP","FLIGHT FUELS LIMITED PARTNERSHIP",,"Department of National Defence","Ministère de la défense nationale",2024-05-23,2026-05-31,CA-NS,"Nova Scotia",Nouvelle-Écosse,NMSO,OCPN,CW2362568,"2026-03-12 22:50:03"
"E60HL-240050-010-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","E60HL-240050-010-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","Aviation fuel","Carburants d'aviation",15101504,"FLIGHT FUELS LIMITED PARTNERSHIP","FLIGHT FUELS LIMITED PARTNERSHIP",,"Department of National Defence","Ministère de la défense nationale",2024-05-23,2026-05-31,CA-ON,Ontario,Ontario,NMSO,OCPN,CW2362568,"2026-03-12 22:50:03"
"E60HL-240050-010-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","E60HL-240050-010-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","Aviation fuel","Carburants d'aviation",15101504,"FLIGHT FUELS LIMITED PARTNERSHIP","FLIGHT FUELS LIMITED PARTNERSHIP",,"Department of National Defence","Ministère de la défense nationale",2024-05-23,2026-05-31,CA-PE,"Prince Edward Island",Île-du-Prince-Édouard,NMSO,OCPN,CW2362568,"2026-03-12 22:50:03"
"E60HL-240050-010-HL NMSO Into-plane Aviation Fuel 2024-2026. Legacy agreement: FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","E60HL-240050-010-HL OCPN Carburant dâaviation mise à bord 2024-2026. Ancien accord : FLIGHT FUELS LIMITED PARTNERSHIP (CW2351253-ACM_161023435).","Aviation fuel","Carburants d'aviation",15101504,"FLIGHT FUELS LIMITED PARTNERSHIP","FLIGHT FUELS LIMITED PARTNERSHIP",,"Department of National Defence","Ministère de la défense nationale",2024-05-23,2026-05-31,CA-QC,Quebec,Québec,NMSO,OCPN,CW2362568,"2026-03-12 22:50:03"
